depth	latitude	longitude	nppv	o2	time
1.5413754	23.25	122.0	3.0341408	32.80404	2021-10-01
1.5413754	23.25	122.25	2.0590742	32.726345	2021-10-01
1.5413754	23.25	122.5	1.0141913	32.600388	2021-10-01
1.5413754	23.25	122.75	0.55556273	32.496037	2021-10-01
1.5413754	23.25	123.0	0.5062373	32.43541	2021-10-01
1.5413754	23.5	119.25	4.541703	33.249954	2021-10-01
1.5413754	23.5	119.5	2.9154682	33.184834	2021-10-01
1.5413754	23.5	119.75	4.6542544	32.993645	2021-10-01
1.5413754	23.5	120.0	6.808946	33.505672	2021-10-01
1.5413754	23.5	121.75	2.8889022	32.7842	2021-10-01
1.5413754	23.5	122.0	3.0665781	32.83063	2021-10-01
1.5413754	23.5	122.25	2.183668	32.795036	2021-10-01
1.5413754	23.5	122.5	1.212775	32.69568	2021-10-01
1.5413754	23.5	122.75	0.71623635	32.600204	2021-10-01
1.5413754	23.5	123.0	0.5634292	32.53054	2021-10-01
1.5413754	23.75	119.25	5.9338007	33.266483	2021-10-01
1.5413754	23.75	119.5	5.7815237	33.37663	2021-10-01
1.5413754	23.75	119.75	10.236665	33.356277	2021-10-01
1.5413754	23.75	120.0	8.715783	34.0634	2021-10-01
1.5413754	23.75	121.75	2.4689896	32.759586	2021-10-01
1.5413754	23.75	122.0	2.992517	32.8405	2021-10-01
1.5413754	23.75	122.25	2.240835	32.831924	2021-10-01
1.5413754	23.75	122.5	1.3435544	32.7637	2021-10-01
1.5413754	23.75	122.75	0.8426285	32.687126	2021-10-01
1.5413754	23.75	123.0	0.6310736	32.631676	2021-10-01
1.5413754	24.0	119.25	6.343363	33.55719	2021-10-01
1.5413754	24.0	119.5	9.533742	33.91614	2021-10-01
1.5413754	24.0	119.75	11.425493	34.02967	2021-10-01
1.5413754	24.0	120.0	9.666169	34.184383	2021-10-01
1.5413754	24.0	120.25	10.391504	34.184986	2021-10-01
1.5413754	24.0	121.75	2.6770685	32.759327	2021-10-01
1.5413754	24.0	122.0	2.784898	32.83953	2021-10-01
1.5413754	24.0	122.25	2.324847	32.838825	2021-10-01
1.5413754	24.0	122.5	1.5433779	32.80437	2021-10-01
1.5413754	24.0	122.75	0.9180789	32.74846	2021-10-01
1.5413754	24.0	123.0	0.6277616	32.669395	2021-10-01
1.5413754	24.25	119.25	7.21798	33.720127	2021-10-01
1.5413754	24.25	119.5	8.841483	34.164455	2021-10-01
1.5413754	24.25	119.75	8.277575	34.2236	2021-10-01
1.5413754	24.25	120.0	8.8325205	34.18938	2021-10-01
1.5413754	24.25	120.25	8.03904	34.13014	2021-10-01
1.5413754	24.25	121.75	3.385261	32.76999	2021-10-01
1.5413754	24.25	122.0	3.0813532	32.82669	2021-10-01
1.5413754	24.25	122.25	2.4914694	32.84477	2021-10-01
1.5413754	24.25	122.5	1.7185284	32.827553	2021-10-01
1.5413754	24.25	122.75	0.9055198	32.751553	2021-10-01
1.5413754	24.25	123.0	0.7177218	32.705032	2021-10-01
1.5413754	24.5	119.25	7.9996734	33.91753	2021-10-01
1.5413754	24.5	119.5	8.643867	33.951942	2021-10-01
1.5413754	24.5	119.75	8.78869	34.170883	2021-10-01
1.5413754	24.5	120.0	8.011869	34.268974	2021-10-01
1.5413754	24.5	120.25	8.042729	34.21473	2021-10-01
1.5413754	24.5	120.5	7.903906	34.081734	2021-10-01
1.5413754	24.5	122.0	3.5700486	32.83623	2021-10-01
1.5413754	24.5	122.25	2.596823	32.856556	2021-10-01
1.5413754	24.5	122.5	1.888805	32.84489	2021-10-01
1.5413754	24.5	122.75	0.9901002	32.772552	2021-10-01
1.5413754	24.5	123.0	0.78404677	32.74934	2021-10-01
1.5413754	24.75	119.25	8.906936	35.1608	2021-10-01
1.5413754	24.75	119.5	8.01154	34.281094	2021-10-01
1.5413754	24.75	119.75	8.289863	34.185062	2021-10-01
1.5413754	24.75	120.0	7.029826	34.3597	2021-10-01
1.5413754	24.75	120.25	8.193635	34.27933	2021-10-01
1.5413754	24.75	120.5	8.7693	34.071636	2021-10-01
1.5413754	24.75	120.75	9.6310215	34.107357	2021-10-01
1.5413754	24.75	122.0	3.5666094	32.887634	2021-10-01
1.5413754	24.75	122.25	2.8042502	32.874348	2021-10-01
1.5413754	24.75	122.5	2.2505438	32.86105	2021-10-01
1.5413754	24.75	122.75	1.522256	32.808735	2021-10-01
1.5413754	24.75	123.0	1.3159506	32.79896	2021-10-01
1.5413754	25.0	119.25	9.770985	36.2303	2021-10-01
1.5413754	25.0	119.5	7.3526855	35.484203	2021-10-01
1.5413754	25.0	119.75	6.79984	34.76238	2021-10-01
1.5413754	25.0	120.0	6.4842825	34.455555	2021-10-01
1.5413754	25.0	120.25	6.911711	34.460438	2021-10-01
1.5413754	25.0	120.5	8.109927	34.217968	2021-10-01
1.5413754	25.0	120.75	6.947234	34.11175	2021-10-01
1.5413754	25.0	122.0	3.6257806	32.975246	2021-10-01
1.5413754	25.0	122.25	3.0234993	32.90362	2021-10-01
1.5413754	25.0	122.5	2.5181417	32.887016	2021-10-01
1.5413754	25.0	122.75	2.2880123	32.849648	2021-10-01
1.5413754	25.0	123.0	2.1261284	32.841145	2021-10-01
1.5413754	25.25	119.25	10.009077	36.452557	2021-10-01
1.5413754	25.25	119.5	9.42453	36.24739	2021-10-01
1.5413754	25.25	119.75	8.676133	35.620464	2021-10-01
1.5413754	25.25	120.0	5.721281	34.884945	2021-10-01
1.5413754	25.25	120.25	4.992786	34.833447	2021-10-01
1.5413754	25.25	120.5	6.612233	34.58867	2021-10-01
1.5413754	25.25	120.75	6.3203235	34.069424	2021-10-01
1.5413754	25.25	121.0	6.0452805	34.134422	2021-10-01
1.5413754	25.25	121.25	6.641801	34.15863	2021-10-01
1.5413754	25.25	121.5	3.4459782	33.69103	2021-10-01
1.5413754	25.25	121.75	3.276211	33.22722	2021-10-01
1.5413754	25.25	122.0	3.7593226	33.033188	2021-10-01
1.5413754	25.25	122.25	3.1904883	32.942657	2021-10-01
1.5413754	25.25	122.5	2.9241033	32.951885	2021-10-01
1.5413754	25.25	122.75	2.9207988	32.934635	2021-10-01
1.5413754	25.25	123.0	2.865207	32.922882	2021-10-01
1.5413754	25.5	119.75	10.062918	36.376297	2021-10-01
1.5413754	25.5	120.0	6.179158	35.572586	2021-10-01
1.5413754	25.5	120.25	5.2138333	35.252148	2021-10-01
1.5413754	25.5	120.5	6.093457	34.774067	2021-10-01
1.5413754	25.5	120.75	5.845465	34.09961	2021-10-01
1.5413754	25.5	121.0	5.123598	34.170403	2021-10-01
1.5413754	25.5	121.25	5.5324736	34.310196	2021-10-01
1.5413754	25.5	121.5	5.007208	33.738323	2021-10-01
1.5413754	25.5	121.75	3.7521834	33.16192	2021-10-01
1.5413754	25.5	122.0	3.5270855	33.054516	2021-10-01
1.5413754	25.5	122.25	3.0656505	33.010975	2021-10-01
1.5413754	25.5	122.5	3.0209694	33.011135	2021-10-01
1.5413754	25.5	122.75	3.12897	32.994972	2021-10-01
1.5413754	25.5	123.0	3.1944606	32.979656	2021-10-01
2.6456685	21.75	119.25	1.2525021	32.593468	2021-10-01
2.6456685	21.75	119.5	1.2305567	32.54725	2021-10-01
2.6456685	21.75	119.75	1.8675388	32.5224	2021-10-01
2.6456685	21.75	120.0	2.7679248	32.529877	2021-10-01
2.6456685	21.75	120.25	2.9800856	32.54931	2021-10-01
2.6456685	21.75	120.5	2.4280977	32.582764	2021-10-01
2.6456685	21.75	120.75	2.8331966	32.59584	2021-10-01
2.6456685	21.75	121.0	3.5579183	32.621876	2021-10-01
2.6456685	21.75	121.25	3.5728946	32.601192	2021-10-01
2.6456685	21.75	121.5	2.2782078	32.49791	2021-10-01
2.6456685	21.75	121.75	0.7052289	32.39022	2021-10-01
2.6456685	21.75	122.0	0.49287623	32.397877	2021-10-01
2.6456685	21.75	122.25	0.5133014	32.367554	2021-10-01
2.6456685	21.75	122.5	0.5458836	32.384113	2021-10-01
2.6456685	21.75	122.75	0.55121803	32.413193	2021-10-01
2.6456685	21.75	123.0	0.5392305	32.414715	2021-10-01
2.6456685	22.0	119.25	1.3751092	32.603767	2021-10-01
2.6456685	22.0	119.5	1.4190686	32.56697	2021-10-01
2.6456685	22.0	119.75	1.7529311	32.53533	2021-10-01
2.6456685	22.0	120.0	2.5280266	32.551422	2021-10-01
2.6456685	22.0	120.25	2.2259972	32.576183	2021-10-01
2.6456685	22.0	120.5	1.817051	32.60757	2021-10-01
2.6456685	22.0	121.0	3.9599519	32.687267	2021-10-01
2.6456685	22.0	121.25	3.8333611	32.63947	2021-10-01
2.6456685	22.0	121.5	2.6219726	32.571182	2021-10-01
2.6456685	22.0	121.75	1.0927206	32.447533	2021-10-01
2.6456685	22.0	122.0	0.5027546	32.412548	2021-10-01
2.6456685	22.0	122.25	0.5013155	32.372936	2021-10-01
2.6456685	22.0	122.5	0.53504974	32.378067	2021-10-01
2.6456685	22.0	122.75	0.5499571	32.409126	2021-10-01
2.6456685	22.0	123.0	0.5450153	32.42046	2021-10-01
2.6456685	22.25	119.25	1.6129775	32.655777	2021-10-01
2.6456685	22.25	119.5	1.4756836	32.613968	2021-10-01
2.6456685	22.25	119.75	1.6140854	32.582928	2021-10-01
2.6456685	22.25	120.0	1.9698586	32.590763	2021-10-01
